,,,
,레벨,문제 순서,문제 이름 & 링크
,Lv.1,1,두 수의 차
,,2,두 수의 곱
,,3,몫 구하기
,,4,나이 출력
,,5,숫자 비교하기
,,6,두 수의 합
,,7,두 수의 나눗셈
,,8,각도기
,,9,짝수의 합
,,10,배열의 평균값
,Lv.2,11,짝수와 홀수
,,12,평균 구하기
,,13,자릿수 더하기
,,14,약수의 합
,,15,나머지가 1이 되는 수 찾기
,,16,x만큼 간격이 있는 n개의 숫자
,,17,자연수 뒤집어 배열로 만들기
,,18,문자열을 정수로 바꾸기
,,19,정수 제곱근 판별
,,20,정수 내림차순으로 배치하기
,,21,하샤드 수
,,22,두 정수 사이의 합
,,23,콜라츠 추측
,,24,서울에서 김서방 찾기
,,25,나누어 떨어지는 숫자
,,26,음양 더하기
,,27,핸드폰 번호 가리기
,,28,없는 숫자 더하기
,,29,제일 작은 수 제거하기
,,30,가운데 글자 가져오기
,,31,수박수박수박수박수박수?
,,32,내적
,,33,약수의 개수와 덧셈
,,34,문자열 내림차순으로 배치하기
,,35,부족한 금액 계산하기
,,36,문자열 다루기 기본
,,37,행렬의 덧셈
,,38,직사각형 별찍기
,,39,최대공약수와 최소공배수
,,40,3진법 뒤집기
,Lv.3,41,이상한 문자 만들기
,,42,삼총사
,,43,크기가 작은 부분
,,44,최소직사각형
,,45,시저 암호
,,46,숫자 문자열과 영단어
,,47,문자열 내 마음대로 정렬하기
,,48,K번째수정렬
,,49,두 개 뽑아서 더하기
,,50,가장 가까운 같은 글자
,,51,푸드 파이트 대회
,,52,콜라 문제
,,53,명예의 전당 (1)
,,54,2016년
,,55,카드 뭉치
,,56,과일 장수
,,57,모의고사완전탐색
,,58,소수 만들기
,,59,덧칠하기
,,60,기사단원의 무기
,,61,로또의 최고 순위와 최저 순위
,,62,옹알이 (2)
,,63,숫자 짝꿍
,,64,체육복
,Lv. 4,65,문자열 나누기
,,66,대충 만든 자판
,,67,둘만의 암호
,,68,햄버거 만들기
,,69,성격 유형 검사하기
,,70,바탕화면 정리
,,71,개인정보 수집 유효기간
,,72,달리기 경주
,,73,공원 산책
,,74,신고 결과 받기
,,75,최댓값과 최솟값
,,76,JadenCase 문자열 만들기
,,77,이진 변환 반복하기
,,78,피보나치 수
,,79,카펫
,,80,예상 대진표
,,81,N개의 최소공배수
,,82,멀리 뛰기
,,83,귤 고르기
,,84,괄호 회전하기
,,85,연속 부분 수열 합의 개수
,,86,H-Index
,,87,n^2 배열 자르기
,,88,행렬의 곱셈
,,89,할인 행사
,,90,의상
,,91,기능개발
,,92,프로세스
,Lv. 5,93,피로도
,,94,타겟 넘버
,,95,k진수에서 소수 개수 구하기
,,96,주차 요금 계산
,,97,모음사전
,,98,뒤에 있는 큰 수 찾기
,,99,롤케이크 자르기
,,100,숫자 변환하기
,,101,2개 이하로 다른 비트
,,102,다리를 지나는 트럭
,,103,가장 큰 수
,,104,소수 찾기
,,105,쿼드압축 후 개수 세기
,,106,택배상자
,,107,큰 수 만들기
,,108,삼각 달팽이
,,109,연속된 부분 수열의 합
,,110,두 큐 합 같게 만들기
,,111,무인도 여행
,,112,행렬 테두리 회전하기
,,113,전력망을 둘로 나누기
,,114,배달
,,115,호텔 대실
,,116,점 찍기
,,117,마법의 엘리베이터
,,118,거리두기 확인하기
,,119,숫자 카드 나누기
,,120,멀쩡한 사각형
,,121,시소 짝꿍
,,122,테이블 해시 함수
,Lv. 6,123,하노이의 탑
,,124,미로 탈출
,,125,혼자 놀기의 달인
,,126,광물 캐기
,,127,리코쳇 로봇
,,128,디펜스 게임
,,129,우박수열 정적분
,,130,두 원 사이의 정수 쌍
,,131,N-Queen
,,132,과제 진행하기
,,133,조이스틱
,,134,혼자서 하는 틱택토
,,135,이모티콘 할인행사
,,136,요격 시스템
,,137,양궁 대회
,,138,교점에 별 만들기
,,139,택배 배달과 수거하기
,,140,유사 칸토어 비트열
,,141,당구 연습
,,142,빛의 경로 사이클
,Lv. 7,143,이중우선순위큐
,,144,네트워크
,,145,단어 변환
,,146,베스트앨범해시
,,147,가장 먼 노드
,,148,섬 연결하기
,,149,여행경로
,,150,디스크 컨트롤러
,,151,입국심사이분탐색
,,152,가장 긴 팰린드롬
,,153,연속 펄스 부분 수열의 합
,,154,풍선 터트리기
,,155,다단계 칫솔 판매
,,156,순위
,,157,부대복귀
,,158,인사고과
,,159,양과 늑대
,,160,110 옮기기
,,161,미로 탈출 명령어
,,162,표현 가능한 이진트리
,,163,스타 수열
,,164,N으로 표현
,,165,등산코스 정하기
,,166,모두 0으로 만들기
,,167,표 병합
,,168,카운트 다운
,,169,2차원 동전 뒤집기
,,170,공 이동 시뮬레이션
,,171,억억단을 외우자
,,172,금과 은 운반하기
,,173,등대
,,174,숫자 타자 대회
,,175,퍼즐 조각 채우기
,,176,사라지는 발판
,,177,상담원 인원
,,178,고고학 최고의 발견
,,179,아방가르드 타일링
,,180,에어컨
